pillar_code,pillar_name,domain_code,domain_name,indicator_code,indicator_name
A,Governance & legal foundation,D1,Legal & Regulatory Basis,D1.1,National oil pollution preparedness and response legislation in force
A,Governance & legal foundation,D1,Legal & Regulatory Basis,D1.2,Ratification and domestication of OPRC 1990 and CLC/FUND conventions
A,Governance & legal foundation,D1,Legal & Regulatory Basis,D1.3,Port-level statutory instrument for spill preparedness and response
A,Governance & legal foundation,D1,Legal & Regulatory Basis,D1.4,Legal mandate and approval status of the national contingency plan
A,Governance & legal foundation,D1,Legal & Regulatory Basis,D1.5,"Enforcement provisions, penalty schedule and prosecution record"
A,Governance & legal foundation,D2,Designated Authority & Command Structure,D2.1,Legally designated competent national authority for oil spill response
A,Governance & legal foundation,D2,Designated Authority & Command Structure,D2.2,"Designated On-Scene Commander role, appointment and authority"
A,Governance & legal foundation,D2,Designated Authority & Command Structure,D2.3,Incident command system formally adopted and documented
A,Governance & legal foundation,D2,Designated Authority & Command Structure,D2.4,"Clarity of inter-agency roles, delegation and hand-over points"
A,Governance & legal foundation,D2,Designated Authority & Command Structure,D2.5,24/7 duty officer roster and command continuity arrangements
B,Operational preparedness & response,D3,Notification & Reporting,D3.1,Single 24/7 point of contact for spill notification
B,Operational preparedness & response,D3,Notification & Reporting,D3.2,Mandatory reporting thresholds and notification timelines defined
B,Operational preparedness & response,D3,Notification & Reporting,D3.3,Standardised notification format (POLREP or equivalent) in use
B,Operational preparedness & response,D3,Notification & Reporting,D3.4,Escalation pathway and neighbouring-state / IMO notification
B,Operational preparedness & response,D3,Notification & Reporting,D3.5,Logged notification drill performance and response-time records
B,Operational preparedness & response,D4,Tiered Response Arrangements,D4.1,Tier 1/2/3 definitions adopted with quantitative activation triggers
B,Operational preparedness & response,D4,Tiered Response Arrangements,D4.2,Tier 2 regional and mutual-aid agreements formally concluded
B,Operational preparedness & response,D4,Tiered Response Arrangements,D4.3,"Tier 3 international assistance arrangements (e.g. OSRL, regional centre)"
B,Operational preparedness & response,D4,Tiered Response Arrangements,D4.4,Documented activation criteria and escalation decision protocol
B,Operational preparedness & response,D4,Tiered Response Arrangements,D4.5,Customs and immigration fast-track for cross-border response resources
B,Operational preparedness & response,D5,Resources & Equipment,D5.1,Containment boom inventory sufficiency and deployment capacity
B,Operational preparedness & response,D5,Resources & Equipment,D5.2,Mechanical recovery (skimmer) capacity against the design scenario
B,Operational preparedness & response,D5,Resources & Equipment,D5.3,Temporary storage and oily-waste handling and disposal capacity
B,Operational preparedness & response,D5,Resources & Equipment,D5.4,"Dispersant policy, approved stockpile and application capability"
B,Operational preparedness & response,D5,Resources & Equipment,D5.5,"Equipment maintenance, testing and readiness certification regime"
B,Operational preparedness & response,D6,Training & Exercises,D6.1,IMO OPRC Level 1/2/3 training coverage of designated personnel
B,Operational preparedness & response,D6,Training & Exercises,D6.2,"Annual exercise programme (notification, tabletop, deployment)"
B,Operational preparedness & response,D6,Training & Exercises,D6.3,Full-scale multi-agency exercise conducted within the last three years
B,Operational preparedness & response,D6,Training & Exercises,D6.4,Exercise evaluation against pre-defined performance objectives
B,Operational preparedness & response,D6,Training & Exercises,D6.5,Competency records and refresher-training cycle maintained
C,"Resilience, financing & continuity",D7,Funding & Liability Arrangements,D7.1,Dedicated standing response fund or ring-fenced budget line
C,"Resilience, financing & continuity",D7,Funding & Liability Arrangements,D7.2,Emergency procurement and rapid disbursement mechanism
C,"Resilience, financing & continuity",D7,Funding & Liability Arrangements,D7.3,"Compensation claims-handling capacity (CLC/FUND, IOPC procedures)"
C,"Resilience, financing & continuity",D7,Funding & Liability Arrangements,D7.4,Cost-recovery and polluter-pays enforcement mechanism
C,"Resilience, financing & continuity",D7,Funding & Liability Arrangements,D7.5,Verification of vessel insurance and financial security certificates
C,"Resilience, financing & continuity",D8,Plan Currency & Documentation,D8.1,Port oil spill contingency plan exists and is formally approved
C,"Resilience, financing & continuity",D8,Plan Currency & Documentation,D8.2,Plan review and update cycle of three years or less demonstrably observed
C,"Resilience, financing & continuity",D8,Plan Currency & Documentation,D8.3,Environmental sensitivity mapping and resource atlas currency
C,"Resilience, financing & continuity",D8,Plan Currency & Documentation,D8.4,Scenario-based risk assessment underpinning the plan
C,"Resilience, financing & continuity",D8,Plan Currency & Documentation,D8.5,Controlled distribution and operational accessibility of plan documents
A,Governance & legal foundation,D9,Stakeholder Coordination,D9.1,Standing multi-agency coordination committee with terms of reference
A,Governance & legal foundation,D9,Stakeholder Coordination,D9.2,Terminal operators and industry integrated into the port plan
A,Governance & legal foundation,D9,Stakeholder Coordination,D9.3,"Public, media and affected-community communication protocol"
A,Governance & legal foundation,D9,Stakeholder Coordination,D9.4,Regional cooperation arrangements (Bay of Bengal / SACEP mechanisms)
A,Governance & legal foundation,D9,Stakeholder Coordination,D9.5,"Joint planning with fisheries, environment and coastal authorities"
C,"Resilience, financing & continuity",D10,"Monitoring, Review & After-Action Learning",D10.1,Incident and near-miss database with systematic record keeping
C,"Resilience, financing & continuity",D10,"Monitoring, Review & After-Action Learning",D10.2,Mandatory after-action review following incidents and exercises
C,"Resilience, financing & continuity",D10,"Monitoring, Review & After-Action Learning",D10.3,Corrective actions tracked to documented closure
C,"Resilience, financing & continuity",D10,"Monitoring, Review & After-Action Learning",D10.4,Readiness performance indicators monitored and reported periodically
C,"Resilience, financing & continuity",D10,"Monitoring, Review & After-Action Learning",D10.5,Independent audit or external peer review of preparedness
